low,high,dur_label,vol_at_bucket,filter,train_n,train_wr,train_roi,hold_n,hold_wr,hold_roi,entry_price,robust,fade_robust
0.05,0.1,all,$1K-10K,EXP_HIGH+MID ≥80%,79,0.0759493670886076,-0.2405063291139241,48,0.08333333333333333,-0.16666666666666674,0.1,false,true
0.05,0.1,all,$1K-10K,nw≥4 + EXP_HIGH+MID ≥50%,26,0.07692307692307693,-0.23076923076923073,20,0.0,-1.0,0.1,false,true
0.05,0.1,all,$1K-10K,FRESH+NEW+SEMI ≥50% (fade),158,0.0949367088607595,-0.050632911392405,69,0.043478260869565216,-0.5652173913043479,0.1,false,true
0.05,0.1,all,$10K-100K,baseline,1810,0.1005524861878453,0.0055248618784529135,766,0.10966057441253264,0.0966057441253263,0.1,true,false
0.05,0.1,all,$10K-100K,EXP_HIGH+MID ≥50%,335,0.16417910447761194,0.6417910447761193,230,0.17391304347826086,0.7391304347826086,0.1,true,false
0.05,0.1,all,$10K-100K,EXP_HIGH+MID ≥80%,234,0.19658119658119658,0.9658119658119657,171,0.16374269005847952,0.6374269005847952,0.1,true,false
0.05,0.1,all,$10K-100K,nw≥4 + EXP_HIGH+MID ≥50%,128,0.09375,-0.0625,87,0.1724137931034483,0.7241379310344829,0.1,false,false
0.05,0.1,all,$10K-100K,FRESH+NEW+SEMI ≥50% (fade),857,0.07234539089848308,-0.27654609101516925,266,0.06015037593984962,-0.3984962406015038,0.1,false,true
0.05,0.1,all,$100K-1M,baseline,913,0.06790799561883899,-0.3209200438116101,502,0.08167330677290836,-0.1832669322709164,0.1,false,true
0.05,0.1,all,$100K-1M,EXP_HIGH+MID ≥50%,160,0.06875,-0.3125,174,0.10919540229885058,0.09195402298850563,0.1,false,false
0.05,0.1,all,$100K-1M,EXP_HIGH+MID ≥80%,95,0.08421052631578947,-0.1578947368421053,126,0.07936507936507936,-0.2063492063492064,0.1,false,true
0.05,0.1,all,$100K-1M,nw≥4 + EXP_HIGH+MID ≥50%,101,0.06930693069306931,-0.30693069306930687,93,0.15053763440860216,0.5053763440860215,0.1,false,false
0.05,0.1,all,$100K-1M,FRESH+NEW+SEMI ≥50% (fade),431,0.06960556844547564,-0.3039443155452437,148,0.033783783783783786,-0.6621621621621622,0.1,false,true
0.05,0.1,all,>$1M,baseline,135,0.044444444444444446,-0.5555555555555556,139,0.17985611510791366,0.7985611510791366,0.1,false,false
0.05,0.1,all,>$1M,EXP_HIGH+MID ≥50%,17,0.11764705882352941,0.17647058823529393,41,0.24390243902439024,1.4390243902439024,0.1,true,false
0.05,0.1,all,>$1M,EXP_HIGH+MID ≥80%,9,0.1111111111111111,0.11111111111111094,30,0.26666666666666666,1.6666666666666665,0.1,true,false
0.05,0.1,all,>$1M,nw≥4 + EXP_HIGH+MID ≥50%,12,0.08333333333333333,-0.16666666666666674,24,0.3333333333333333,2.333333333333333,0.1,false,false
0.05,0.1,all,>$1M,FRESH+NEW+SEMI ≥50% (fade),74,0.05405405405405406,-0.45945945945945943,48,0.08333333333333333,-0.16666666666666674,0.1,false,true
0.05,0.15,≤1h,all,baseline,1426,0.1640953716690042,0.09396914446002813,711,0.14486638537271448,-0.034224097515236696,0.15,false,false
0.05,0.15,≤1h,all,EXP_HIGH+MID ≥50%,271,0.23247232472324722,0.5498154981549814,226,0.20353982300884957,0.3569321533923304,0.15,true,false
0.05,0.15,≤1h,all,EXP_HIGH+MID ≥80%,192,0.2708333333333333,0.8055555555555556,169,0.1952662721893491,0.30177514792899407,0.15,true,false
0.05,0.15,≤1h,all,nw≥4 + EXP_HIGH+MID ≥50%,97,0.18556701030927836,0.23711340206185572,100,0.25,0.6666666666666667,0.15,true,false
0.05,0.15,≤1h,all,FRESH+NEW+SEMI ≥50% (fade),684,0.1301169590643275,-0.13255360623781665,248,0.10080645161290322,-0.32795698924731187,0.15,false,true
0.05,0.15,≤1h,<$1K,baseline,180,0.2222222222222222,0.4814814814814814,63,0.23809523809523808,0.5873015873015872,0.15,true,false
0.05,0.15,≤1h,<$1K,EXP_HIGH+MID ≥50%,21,0.23809523809523808,0.5873015873015872,13,0.23076923076923078,0.5384615384615385,0.15,true,false
0.05,0.15,≤1h,<$1K,EXP_HIGH+MID ≥80%,20,0.25,0.6666666666666667,12,0.16666666666666666,0.11111111111111116,0.15,true,false
0.05,0.15,≤1h,<$1K,FRESH+NEW+SEMI ≥50% (fade),100,0.22,0.4666666666666668,32,0.25,0.6666666666666667,0.15,true,false
0.05,0.15,≤1h,$1K-10K,baseline,122,0.1721311475409836,0.14754098360655732,69,0.10144927536231885,-0.32367149758454095,0.15,false,false
0.05,0.15,≤1h,$1K-10K,EXP_HIGH+MID ≥50%,36,0.16666666666666666,0.11111111111111116,20,0.2,0.3333333333333335,0.15,true,false
0.05,0.15,≤1h,$1K-10K,EXP_HIGH+MID ≥80%,26,0.15384615384615385,0.025641025641025772,15,0.26666666666666666,0.7777777777777779,0.15,true,false
0.05,0.15,≤1h,$1K-10K,FRESH+NEW+SEMI ≥50% (fade),51,0.11764705882352941,-0.21568627450980393,26,0.07692307692307693,-0.4871794871794871,0.15,false,true
0.05,0.15,≤1h,$10K-100K,baseline,740,0.1662162162162162,0.10810810810810811,300,0.13666666666666666,-0.0888888888888889,0.15,false,false
0.05,0.15,≤1h,$10K-100K,EXP_HIGH+MID ≥50%,156,0.26282051282051283,0.7521367521367524,84,0.2261904761904762,0.5079365079365079,0.15,true,false
0.05,0.15,≤1h,$10K-100K,EXP_HIGH+MID ≥80%,111,0.3153153153153153,1.1021021021021022,66,0.21212121212121213,0.41414141414141414,0.15,true,false
0.05,0.15,≤1h,$10K-100K,nw≥4 + EXP_HIGH+MID ≥50%,59,0.1864406779661017,0.24293785310734473,32,0.3125,1.0833333333333335,0.15,true,false
0.05,0.15,≤1h,$10K-100K,FRESH+NEW+SEMI ≥50% (fade),342,0.1111111111111111,-0.2592592592592593,109,0.08256880733944955,-0.4495412844036697,0.15,false,true
0.05,0.15,≤1h,$100K-1M,baseline,334,0.1407185628742515,-0.06187624750498999,208,0.11538461538461539,-0.23076923076923073,0.15,false,true
0.05,0.15,≤1h,$100K-1M,EXP_HIGH+MID ≥50%,53,0.18867924528301888,0.25786163522012595,85,0.16470588235294117,0.0980392156862746,0.15,true,false
