low,high,dur_label,filter,train_n,train_wr,train_roi,hold_n,hold_wr,hold_roi,entry_price,robust,fade_robust
0.05,0.3,≤24h,EXP_HIGH+MID ≥50%,190,0.35789473684210527,0.19298245614035103,152,0.32894736842105265,0.09649122807017552,0.3,true,false
0.05,0.3,≤24h,EXP_HIGH+MID ≥80%,106,0.41509433962264153,0.3836477987421385,80,0.375,0.25,0.3,true,false
0.05,0.3,≤24h,nw≥4 + EXP_HIGH+MID ≥50%,103,0.2815533980582524,-0.06148867313915862,104,0.33653846153846156,0.12179487179487203,0.3,false,false
0.05,0.3,≤24h,FRESH+NEW+SEMI ≥50% (fade),359,0.22841225626740946,-0.23862581244196845,148,0.18243243243243243,-0.3918918918918919,0.3,false,true
0.05,0.3,all,baseline,1013,0.25765054294175715,-0.14116485686080948,529,0.24007561436672967,-0.19974795211090113,0.3,false,true
0.05,0.3,all,EXP_HIGH+MID ≥50%,216,0.32407407407407407,0.08024691358024705,171,0.3391812865497076,0.13060428849902528,0.3,true,false
0.05,0.3,all,EXP_HIGH+MID ≥80%,111,0.3963963963963964,0.3213213213213213,86,0.3953488372093023,0.317829457364341,0.3,true,false
0.05,0.3,all,nw≥4 + EXP_HIGH+MID ≥50%,128,0.2421875,-0.19270833333333326,121,0.33884297520661155,0.12947658402203865,0.3,false,false
0.05,0.3,all,FRESH+NEW+SEMI ≥50% (fade),418,0.23205741626794257,-0.22647527910685805,157,0.1910828025477707,-0.36305732484076425,0.3,false,true
0.05,0.35,≤1h,baseline,466,0.3133047210300429,-0.10484365419987729,236,0.25,-0.2857142857142857,0.35,false,true
0.05,0.35,≤1h,EXP_HIGH+MID ≥50%,91,0.4725274725274725,0.35007849293563575,71,0.36619718309859156,0.04627766599597605,0.35,true,false
0.05,0.35,≤1h,EXP_HIGH+MID ≥80%,58,0.5517241379310345,0.5763546798029557,45,0.4,0.14285714285714302,0.35,true,false
